uoc,saf,tipo_organismo,n_adj,localidad,provincia,lat,lon,confianza,fuente,verificado
46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604 - Dirección Nacional de Vialidad,infraestructura,816,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/88 - DIRECCION DE EDUCACION OPERACIONAL,374 - Estado Mayor General del Ejercito,seguridad_defensa,800,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
21/000 - Dirección General de Administración - DNM,201 - Dirección Nacional de Migraciones,administracion,799,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
17 - Oficina de Compras- TNC,113 - Teatro Nacional Cervantes,cultura_educacion,788,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/13 - 13° Chubut - DNV,604 - Dirección Nacional de Vialidad,infraestructura,780,Trelew,Chubut,-43.2531867505795,-65.3093805893395,alta,manual,1
46/17 - 17° Entre Rios - DNV,604 - Dirección Nacional de Vialidad,infraestructura,768,Paraná,Entre Ríos,-31.7401601621031,-60.5274260494443,alta,deepseek+georef,1
40/016 - AREA MATERIAL QUILMES,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,758,Quilmes,Buenos Aires,-34.7200676236621,-58.254346982141,alta,denominacion,1
84/08 - Hospital General 602 Campo de Mayo,374 - Estado Mayor General del Ejercito,seguridad_defensa,755,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,alta,denominacion,1
84/48 - Batallón de Ingenieros Anfibios 121,374 - Estado Mayor General del Ejercito,seguridad_defensa,746,Santo Tomé,Corrientes,-28.5498158069218,-56.0348110765932,alta,deepseek+georef,1
38/38 - MINISTERIO DE DEFENSA - ARMADA ARGENTINA - HOSPITAL NAVAL BUENOS AIRES CIRUJANO MAYOR DOCTOR PEDRO MALLO,379 - Estado Mayor General de la Armada,seguridad_defensa,738,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/20 - Comando Brigada Mecanizada IX,374 - Estado Mayor General del Ejercito,seguridad_defensa,732,Comodoro Rivadavia,Chubut,-45.8625644045819,-67.494000786158,alta,deepseek+georef,1
49/00 - Instituto Nacional de Vitivinicultura,609 - Instituto Nacional de Vitivinicultura,administracion,724,Mendoza,Mendoza,-32.8897325533642,-68.8444442314254,alta,deepseek+georef,1
84/99 - Hospital Militar Regional Mendoza,374 - Estado Mayor General del Ejercito,seguridad_defensa,722,Mendoza,Mendoza,-32.8897325533642,-68.8444442314254,alta,denominacion,1
26/000 - Dirección de Compras y Contrataciones - MRE,307 - Ministerio de Relaciones Exteriores; Comercio Internacional y Culto,administracion,713,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/19 - Comando Brigada de Montaña VIII,374 - Estado Mayor General del Ejercito,seguridad_defensa,710,Mendoza,Mendoza,-32.8897325533642,-68.8444442314254,alta,deepseek+georef,1
65 - División Suministros y Contrataciones,902 - Hospital Nacional en Red Especializado en Salud Mental y Adicciones Licenciada Laura Bonaparte,salud_social,708,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/37 - Hospital Militar Regional Córdoba,374 - Estado Mayor General del Ejercito,seguridad_defensa,703,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,denominacion,1
38/37 - Hospital Naval Puerto Belgrano,379 - Estado Mayor General de la Armada,seguridad_defensa,692,Punta Alta,Buenos Aires,-38.8781733532983,-62.0794804613607,alta,deepseek+georef,1
88/00 - Compras - Instituto Nacional de Rehabilitación Psicofísica del Sur,910 - Instituto Nacional de Rehabilitación Psicofísica del Sur Dr. Juan Otimio Tesone,salud_social,689,Mar del Plata,Buenos Aires,-38.0064494189987,-57.5438377776641,alta,deepseek+georef,1
35/000 - Dirección General de Administración - MD,370 - Ministerio de Defensa,seguridad_defensa,686,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
Departamento Contrataciones Córdoba - UOC 40/49,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,685,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,denominacion,1
38/03 - UOC de la Intendencia Naval Puerto Belgrano - Armada Argentina,379 - Estado Mayor General de la Armada,seguridad_defensa,670,Punta Alta,Buenos Aires,-38.8781733532983,-62.0794804613607,alta,deepseek+georef,1
84/30 - Liceo Militar General Paz,374 - Estado Mayor General del Ejercito,seguridad_defensa,668,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,deepseek+georef,1
46/08 - 8° La Rioja - DNV,604 - Dirección Nacional de Vialidad,infraestructura,660,La Rioja,La Rioja,-29.412884219358,-66.8558279775847,alta,denominacion,1
38/021 - Jefatura Militar de la Dirección General de Educación de la Armada,379 - Estado Mayor General de la Armada,seguridad_defensa,651,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
84/28 - Jefatura Agrupación Artillería Antiaérea Ej. 601 - EC,374 - Estado Mayor General del Ejercito,seguridad_defensa,645,Mar del Plata,Buenos Aires,-38.0064494189987,-57.5438377776641,alta,deepseek+georef,1
38/00 - JEFATURA ADMINISTRATIVA FINANCIERA DE LA ARMADA,379 - Estado Mayor General de la Armada,seguridad_defensa,641,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
28 -  Departamento de Compras y Patrimonio- MTU,322 - Ministerio de Turismo y Deportes,administracion,637,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
40/018 - UOC PAR,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,636,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
46/07 - 7° Santa Fe - DNV,604 - Dirección Nacional de Vialidad,infraestructura,634,Santa Fe,Santa Fe,-31.6574749533861,-60.7104784410123,alta,denominacion,1
40/022 - UOC DIL,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,621,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
84/12 - Dirección de Ingenieros e Infraestructura,374 - Estado Mayor General del Ejercito,seguridad_defensa,617,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
67 - Departamento de compras y contrataciones- INCUCAI,905 - Instituto Nacional Central Único Coordinador de Ablación e Implante,salud_social,615,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/17 - Escuela Naval Militar,379 - Estado Mayor General de la Armada,seguridad_defensa,615,Río Santiago,Buenos Aires,-34.8513758,-57.8868726,alta,deepseek+nominatim,1
92 - Departamento de Compras y Contrataciones- BN,116 - Biblioteca Nacional,cultura_educacion,603,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
40/035 - UOC BASMAR,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,603,Bahía Blanca,Buenos Aires,-38.7227702772442,-62.2727419998288,media,deepseek+georef,0
40/019 - UOC  RTA,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,601,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
38/5 - División de Compras - Arsenal Aereonaval Comandante Espora,379 - Estado Mayor General de la Armada,seguridad_defensa,593,Bahía Blanca,Buenos Aires,-38.7227702772442,-62.2727419998288,alta,manual,1
84/128 - Dirección General de Intendencia,374 - Estado Mayor General del Ejercito,seguridad_defensa,591,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/008 - Base Naval Zárate,379 - Estado Mayor General de la Armada,seguridad_defensa,588,Zárate,Buenos Aires,-34.0989165196293,-59.0296629320907,alta,denominacion,1
Departamento Contrataciones Córdoba - UOC 40/51,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,587,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,denominacion,1
40/9 - por Base Aérea Militar Resistencia,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,573,Resistencia,Chaco,-27.4510757112285,-58.9864835287395,alta,denominacion,1
84/135 - Dirección General de Material,374 - Estado Mayor General del Ejercito,seguridad_defensa,572,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
95/000 - Dirección de Administración de Niñez; Adolescencia y Familia - SENNAF,311 - Ministerio de Salud y Desarrollo Social,salud_social,572,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/23 - 23° Santa Cruz - DNV,604 - Dirección Nacional de Vialidad,infraestructura,571,Río Gallegos,Santa Cruz,-51.6234632663739,-69.2158645331237,alta,deepseek+georef,0
46/18 - 18° Chaco - DNV,604 - Dirección Nacional de Vialidad,infraestructura,570,Resistencia,Chaco,-27.4510757112285,-58.9864835287395,alta,deepseek+georef,0
38/31 - DIRECCION GENERAL DE INTELIGENCIA DE LA ARMADA,379 - Estado Mayor General de la Armada,seguridad_defensa,551,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
38/4 - INTENDENCIA NAVAL MAR DEL PLATA,379 - Estado Mayor General de la Armada,seguridad_defensa,548,Mar del Plata,Buenos Aires,-38.0064494189987,-57.5438377776641,alta,denominacion,1
38/23 - Licitaciones y Compras - Base Aeronaval Punta Indio,379 - Estado Mayor General de la Armada,seguridad_defensa,547,Punta Indio,Buenos Aires,-35.2685627801267,-57.2474704888542,alta,denominacion,1
38/22 - Secretaria General de la Armada,379 - Estado Mayor General de la Armada,seguridad_defensa,546,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/21 - 21° La Pampa - DNV,604 - Dirección Nacional de Vialidad,infraestructura,543,Santa Rosa,La Pampa,-36.6204011947334,-64.2906300356297,alta,deepseek+georef,0
318 - Coordinación de Patrimonio; Compras y Contrataciones - ACUMAR,556 - Autoridad de Cuenca Matanza Riachuelo,infraestructura,540,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/22 - 22° Formosa - DNV,604 - Dirección Nacional de Vialidad,infraestructura,537,Formosa,Formosa,-26.185008983147,-58.1748964834654,alta,denominacion,1
46/20 - 20° Río Negro - DNV,604 - Dirección Nacional de Vialidad,infraestructura,531,Viedma,Río Negro,-40.8083677299022,-62.9949287297467,alta,deepseek+georef,0
46/24 - 24° Tierra del Fuego - DNV,604 - Dirección Nacional de Vialidad,infraestructura,524,Ushuaia,Tierra del Fuego,-54.8074039816905,-68.3037571781958,alta,deepseek+georef,0
84/136 COMANDO GUARNICIÓN MILITAR BUENOS AIRES,374 - Estado Mayor General del Ejercito,seguridad_defensa,521,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/11 - 11° Catamarca - DNV,604 - Dirección Nacional de Vialidad,infraestructura,521,San Fernando del Valle de Catamarca,Catamarca,-28.4690132409229,-65.7789173519908,alta,deepseek+georef,0
46/15 - 15° Misiones - DNV,604 - Dirección Nacional de Vialidad,infraestructura,519,Posadas,Misiones,-27.3664259799962,-55.8939802751923,alta,deepseek+georef,0
46/01 - 19° Bahía Blanca - DNV,604 - Dirección Nacional de Vialidad,infraestructura,518,Bahía Blanca,Buenos Aires,-38.7227702772442,-62.2727419998288,alta,denominacion,1
84/81 - Jefatura Agrupación Comunicaciones 601,374 - Estado Mayor General del Ejercito,seguridad_defensa,517,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
84/31 - Liceo Militar General Belgrano,374 - Estado Mayor General del Ejercito,seguridad_defensa,515,Santa Fe,Santa Fe,-31.6574749533861,-60.7104784410123,alta,deepseek+georef,0
40/021 - UOC RYD,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,515,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107 - Administración de Parques Nacionales,administracion,507,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/16 - Licitaciones y Compras - Base Aeronaval Almirante Zar,379 - Estado Mayor General de la Armada,seguridad_defensa,505,Trelew,Chubut,-43.2531867505795,-65.3093805893395,alta,deepseek+georef,0
39 - Dirección General de Administración- PNA,380 - Prefectura Naval Argentina,seguridad_defensa,502,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/06 - 6° Jujuy - DNV,604 - Dirección Nacional de Vialidad,infraestructura,499,San Salvador de Jujuy,Jujuy,-24.1858286711634,-65.2994830799205,alta,deepseek+georef,0
40/032 - AREA LOGISTICA PALOMAR,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,497,El Palomar,Buenos Aires,-34.6108556165017,-58.5956810077115,alta,deepseek+georef,0
84/18 - Comando de la Brigada de Montaña VI,374 - Estado Mayor General del Ejercito,seguridad_defensa,491,San Martín de los Andes,Neuquén,-40.1569379390652,-71.352714325536,media,deepseek+georef,0
84/33 - DIRECCION DE INTELIGENCIA OPERACIONAL,374 - Estado Mayor General del Ejercito,seguridad_defensa,488,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
46/03 - 3° Tucumán - DNV,604 - Dirección Nacional de Vialidad,infraestructura,482,San Miguel de Tucumán,Tucumán,-26.8303887617109,-65.2037797033494,alta,deepseek+georef,0
46/16 - 16° Santiago del Estero - DNV,604 - Dirección Nacional de Vialidad,infraestructura,479,Santiago del Estero,Santiago del Estero,-27.787684474002,-64.259668066644,alta,denominacion,1
46/19 - 1° Buenos Aires - DNV,604 - Dirección Nacional de Vialidad,infraestructura,475,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
40/020 - UOC DOZ,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,474,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
32/000 - Dirección General de Administración - MJyDDHH,332 - Ministerio de Justicia y Derechos Humanos,administracion,473,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/71 - Liceo Militar General Roca,374 - Estado Mayor General del Ejercito,seguridad_defensa,467,Comodoro Rivadavia,Chubut,-45.8625644045819,-67.494000786158,media,deepseek+georef,0
84/11 - Liceo Militar General San Martin,374 - Estado Mayor General del Ejercito,seguridad_defensa,466,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
40/045 - UOC PAL,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,458,El Palomar,Buenos Aires,-34.6108556165017,-58.5956810077115,media,deepseek+georef,0
81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325 - Ministerio del Interior,administracion,457,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/40 - Comando Brigada Mecanizada X,374 - Estado Mayor General del Ejercito,seguridad_defensa,457,La Plata,Buenos Aires,-34.9154959630273,-57.9479884807815,media,deepseek+georef,0
34/000 - Dirección General de Administración - MHA,357 - Ministerio de Economía,administracion,446,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/26 - Unidad Operativa de Contrataciones - Escuela suboficiales de la Armada,379 - Estado Mayor General de la Armada,seguridad_defensa,445,Puerto Belgrano,Buenos Aires,-38.8778269,-62.090821,alta,deepseek+nominatim,0
279/000 - Departamento de Compras - PSA,382 - Policia de Seguridad Aeroportuaria,seguridad_defensa,440,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
436 - MINISTERIO DE ECONOMÍA - JUNTA DE SEGURIDAD EN EL TRANSPORTE - COMPRAS,671 - JUNTA DE SEGURIDAD EN EL TRANSPORTE,administracion,433,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
74/01 - Departamento de Administracion  - Parque Nacional Nahuel Huapi,107 - Administración de Parques Nacionales,administracion,431,San Carlos de Bariloche,Río Negro,-41.1358081611304,-71.3043392567773,alta,deepseek+georef,0
98/00 - Dir. Compras,101 - Fundación Miguel Lillo,ciencia_universidad,417,San Miguel de Tucumán,Tucumán,-26.8303887617109,-65.2037797033494,alta,deepseek+georef,0
454/000 - Subdirección de Compras y Contrataciones,207 - Ente Nacional de Comunicaciones,administracion,416,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
315/000 - Dirección General de Administración - MP,362 - Ministerio de Desarrollo Productivo,administracion,414,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
40/017 - I BRIGADA AEREA PALOMAR,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,413,El Palomar,Buenos Aires,-34.6108556165017,-58.5956810077115,alta,deepseek+georef,0
